Time,WindSpeed60.ms,WindSpeed30.ms,Dir.degree,Temp.C
2011-01-01 00:00:00 UTC,8.555,7.125,181.85,12.9
2011-01-01 00:10:00 UTC,9.14,7.63,182.8,12.8
2011-01-01 00:20:00 UTC,8.645,7.35,181.5,13.1
2011-01-01 00:30:00 UTC,9.15,7.735,184.55,13
2011-01-01 00:40:00 UTC,9.21,7.955,183.85,13.1
2011-01-01 00:50:00 UTC,9.13,7.66,188.2,12.9
2011-01-01 01:00:00 UTC,9.435,7.78,188.5,13.2
2011-01-01 01:10:00 UTC,9.455,7.82,187.9,13.1
2011-01-01 01:20:00 UTC,9.76,8.395,186.75,13.5
2011-01-01 01:30:00 UTC,10.72,9.55,187.65,13.6
2011-01-01 01:40:00 UTC,10.97,9.355,186.95,14
2011-01-01 01:50:00 UTC,11.15,9.37,184.3,13.9
2011-01-01 02:00:00 UTC,11.72,10.095,184.25,14.1
2011-01-01 02:10:00 UTC,11.33,9.475,185.25,13.9
2011-01-01 02:20:00 UTC,10.895,9.225,179.1,14.1
2011-01-01 02:30:00 UTC,10.37,8.905,176.4,13.9
2011-01-01 02:40:00 UTC,9.59,8.465,174.75,14.1
2011-01-01 02:50:00 UTC,9.54,8.075,176.4,13.8
2011-01-01 03:00:00 UTC,10.045,8.81,177.15,13.9
2011-01-01 03:10:00 UTC,9.68,8.53,178.05,13.6
2011-01-01 03:20:00 UTC,9.725,8.44,178.75,13.7
2011-01-01 03:30:00 UTC,9.005,7.675,174.25,13.4
2011-01-01 03:40:00 UTC,9.815,8.345,171.1,13.5
2011-01-01 03:50:00 UTC,8.57,7.15,170.9,13
2011-01-01 04:00:00 UTC,8.665,7.25,175.1,12.7
2011-01-01 04:10:00 UTC,8.925,7.605,178.05,12.5
2011-01-01 04:20:00 UTC,9.11,7.745,181.9,12.7
2011-01-01 04:30:00 UTC,9.75,8.1,181.95,12.6
2011-01-01 04:40:00 UTC,10.055,8.625,181,12.9
2011-01-01 04:50:00 UTC,10.88,9.65,180.45,12.9
2011-01-01 05:00:00 UTC,10.585,9.135,179.25,13.1
2011-01-01 05:10:00 UTC,9.64,8,177.95,13
2011-01-01 05:20:00 UTC,10.3,8.865,181.7,13.3
2011-01-01 05:30:00 UTC,10.42,9.335,185.75,13.2
2011-01-01 05:40:00 UTC,10.235,8.815,185.6,13.5
2011-01-01 05:50:00 UTC,10.51,9.065,183.5,13.5
2011-01-01 06:00:00 UTC,10.575,8.975,180.6,13.7
2011-01-01 06:10:00 UTC,10.88,9.38,183.8,13.5
2011-01-01 06:20:00 UTC,11.1,9.51,181.45,13.6
2011-01-01 06:30:00 UTC,10.795,9.43,180.2,13.4
2011-01-01 06:40:00 UTC,11.125,9.805,179.3,13.6
2011-01-01 06:50:00 UTC,11.395,9.995,184.6,13.3
2011-01-01 07:00:00 UTC,11.085,9.5,189.2,13.4
2011-01-01 07:10:00 UTC,10.58,9.165,189.85,13.2
2011-01-01 07:20:00 UTC,10.945,9.435,192,13.4
2011-01-01 07:30:00 UTC,11,9.675,195.8,13.2
2011-01-01 07:40:00 UTC,11.065,9.945,198.45,13.2
2011-01-01 07:50:00 UTC,10.765,9.35,189,12.9
2011-01-01 08:00:00 UTC,9.895,8.395,184.65,12.6
